timestamp,x_position,y_position,heading,x_position_error,y_position_error,heading_error,distance,angle,distance_error,angle_error
5486,-28.532,-115.382,86.459,-28.58,-115.494,-0.016,118.857,193.89,-118.978,-0.005
15315,12.882,111.439,357.874,51.433,16.485,1.934,112.181,6.594,-31.001,-20.097
18521,-42.772,-22.488,267.471,-42.771,-22.591,-1.99,48.323,242.267,-48.37,0.055
22082,191.144,176.321,156.64,191.28,176.403,8.022,260.048,47.31,-260.204,-0.003
24988,-171.395,-254.399,91.098,-171.162,-254.272,-6.961,306.749,213.969,-306.514,0.011
28243,30.644,101.706,358.237,30.592,101.818,-3.584,106.222,16.767,-106.314,0.022
31498,-24.19,-114.374,85.446,-24.395,-114.654,-1.445,116.905,191.942,-117.221,-0.035
35011,-146.824,58.005,198.123,-146.831,58.248,-5.667,157.867,291.557,-157.962,-0.041
37966,100.542,46.913,267.38,100.852,46.981,9.89,110.948,64.986,-111.258,-0.018
41271,61.815,11.544,358.132,62.141,11.515,1.929,62.883,79.422,-63.199,-0.04
44577,-49.874,-31.832,266.942,-49.982,-31.944,-2.117,59.167,237.452,-59.318,0.017
48133,-182.782,-161.21,156.382,-182.449,-161.134,8.092,243.717,228.588,-243.417,0.019
54363,232.714,193.13,358.209,25.428,100.937,-2.518,302.415,50.311,-88.881,9.033
57674,-22.069,-132.265,86.247,-22.174,-132.374,-1.205,134.094,189.473,-134.218,-0.018
61335,-166.32,32.902,199.834,-166.204,33.381,-5.868,169.543,281.19,-169.523,-0.083
